Wall time,Step,Value
1589151511.0136077,72000,-0.019127026200294495
1589151536.1654274,84000,-0.019321437925100327
1589151639.1331947,132000,-0.019970450550317764
1589151666.8413632,144000,-0.027204347774386406
1589151716.3528256,168000,-0.02352284826338291
1589151743.5196712,180000,-0.022801076993346214
1589151767.994288,192000,-0.02805403061211109
1589151819.5661373,216000,-0.025767887011170387
1589151843.7181954,228000,-0.029912205412983894
1589151867.855244,240000,-0.02669474296271801
1589151895.1608753,252000,-0.028017349541187286
1589151996.4653406,300000,-0.02597474306821823
1589152224.8349297,408000,-0.02824564091861248
1589152249.5665083,420000,-0.02168792486190796
1589152301.552055,444000,-0.027785826474428177
1589152377.0948489,480000,-0.027217095717787743
1589152401.3392098,492000,-0.024930281564593315
1589152452.9590416,516000,-0.03170696273446083
1589152504.2629309,540000,-0.028854910284280777
1589152528.3628786,552000,-0.031101206317543983
1589152579.8735201,576000,-0.03202630579471588
1589152628.1163108,600000,-0.032632917165756226
1589152655.6101177,612000,-0.0355927012860775
1589152731.5521302,648000,-0.032464612275362015
1589152755.8538234,660000,-0.03593912348151207
1589152779.722816,672000,-0.03037659265100956
1589152807.0340316,684000,-0.033962804824113846
1589152831.38638,696000,-0.034560058265924454
1589152906.9960048,732000,-0.03790147975087166
1589152931.0340865,744000,-0.033145125955343246
1589152982.4325013,768000,-0.03653287887573242
1589153033.8562384,792000,-0.03373125195503235
1589153058.1806078,804000,-0.036863937973976135
1589153082.4522247,816000,-0.03242773190140724
1589153109.8422704,828000,-0.03525781258940697
1589153186.5573547,864000,-0.03846966475248337
1589153211.0545173,876000,-0.03720817342400551
1589153234.9059937,888000,-0.03835010528564453
1589153262.022226,900000,-0.03633638471364975
1589153310.5842967,924000,-0.03955039381980896
1589153385.9056273,960000,-0.03597192093729973
1589153512.4901228,1020000,-0.03922335058450699
1589153536.8397052,1032000,-0.0374869704246521
1589153564.2926717,1044000,-0.03816549852490425
1589153588.5170357,1056000,-0.03713933005928993
1589153613.1397183,1068000,-0.03873356804251671
1589153640.3878906,1080000,-0.037736278027296066
1589153764.5281196,1140000,-0.041128549724817276
1589153967.014737,1236000,-0.038850750774145126
1589154042.6927257,1272000,-0.03954213857650757
1589154067.3811772,1284000,-0.03873006999492645
1589154247.3964188,1368000,-0.04371008649468422
1589154322.6065135,1404000,-0.041436225175857544
1589154371.9266784,1428000,-0.04048571363091469
1589154399.145962,1440000,-0.040678471326828
1589154423.5209754,1452000,-0.04467759653925896
1589154523.880211,1500000,-0.041969235986471176
1589154551.3510647,1512000,-0.04412916302680969
1589154575.4636803,1524000,-0.044687669724226
1589154651.0652025,1560000,-0.04677553474903107
1589154675.0257688,1572000,-0.04430753365159035
1589154750.6428213,1608000,-0.04460076987743378
1589154853.0712965,1656000,-0.041045162826776505
1589154901.4432445,1680000,-0.04621633514761925
1589154954.3285341,1704000,-0.043355073779821396
1589154979.1810355,1716000,-0.043740466237068176
1589155006.5657406,1728000,-0.04622994363307953
1589155030.8744583,1740000,-0.04338914155960083
1589155131.4840782,1788000,-0.04444774612784386
1589155182.822511,1812000,-0.043338268995285034
1589155258.7274861,1848000,-0.04781089723110199
1589155282.7103562,1860000,-0.044232506304979324
1589155309.7418513,1872000,-0.045199938118457794
1589155358.0783923,1896000,-0.045129965990781784
1589155385.301877,1908000,-0.045474402606487274
1589155409.6397998,1920000,-0.047075193375349045
1589155484.9051108,1956000,-0.04623810574412346
1589155536.1680427,1980000,-0.04352841153740883
1589155560.476045,1992000,-0.04457871615886688
1589155611.685316,2016000,-0.04856191202998161
1589155636.3464375,2028000,-0.04615328460931778
1589155712.846267,2064000,-0.04760283976793289
1589155841.7498875,2124000,-0.047590285539627075
1589155866.1358352,2136000,-0.04267890751361847
1589155890.608211,2148000,-0.04214053601026535
1589155942.4647248,2172000,-0.043984927237033844
1589155967.1352363,2184000,-0.04379911348223686
1589156018.692187,2208000,-0.04426630958914757
1589156069.6392825,2232000,-0.045757267624139786
1589156093.6795182,2244000,-0.04438308626413345
1589156117.5095246,2256000,-0.04489446431398392
1589156144.3143625,2268000,-0.0473477877676487
1589156192.474924,2292000,-0.046530768275260925
1589156219.4650438,2304000,-0.044056374579668045
1589156395.130665,2388000,-0.042183950543403625
1589156494.5869005,2436000,-0.050837691873311996
1589156598.3130076,2484000,-0.04225277528166771
1589156622.8518643,2496000,-0.043737463653087616
1589156647.3072267,2508000,-0.04346794635057449
1589156750.4033887,2556000,-0.04288402572274208
1589156825.8534167,2592000,-0.03994378075003624
1589156901.173788,2628000,-0.042238008230924606
1589156926.003495,2640000,-0.039503782987594604
1589157003.7268884,2676000,-0.04076867550611496
1589157027.9705694,2688000,-0.040337126702070236
1589157079.9302325,2712000,-0.03746585547924042
1589157103.8846169,2724000,-0.04211634024977684
1589157131.1358066,2736000,-0.038989901542663574
1589157179.798396,2760000,-0.040441881865262985
1589157206.7001364,2772000,-0.039879754185676575
1589157255.217332,2796000,-0.03880473971366882
1589157282.7755136,2808000,-0.0398869551718235
1589157307.1233513,2820000,-0.037429530173540115
1589157382.4872582,2856000,-0.03882496803998947
1589157457.7329671,2892000,-0.03813222423195839
1589157584.9383712,2952000,-0.03973790258169174
1589157632.904715,2976000,-0.03941204398870468
1589157684.8601644,3000000,-0.037062644958496094
1589157709.1728458,3012000,-0.03913763538002968
1589157836.0529375,3072000,-0.0358293391764164
1589157911.7467573,3108000,-0.03483076021075249
1589157936.7066963,3120000,-0.037260498851537704
1589157964.1016371,3132000,-0.035725414752960205
1589157988.778423,3144000,-0.03757074847817421
1589158039.9848754,3168000,-0.03605250269174576
1589158140.977934,3216000,-0.034576475620269775
1589158191.9892285,3240000,-0.03499117121100426
1589158239.9277287,3264000,-0.0331035852432251
1589158290.970324,3288000,-0.03523827716708183
1589158417.9564064,3348000,-0.03314020484685898
1589158466.7386546,3372000,-0.03637179732322693
1589158568.3004076,3420000,-0.032749976962804794
1589158692.0144145,3480000,-0.03435566648840904
1589158742.9718251,3504000,-0.03419296443462372
1589158767.3174808,3516000,-0.03442089632153511
1589158843.1832628,3552000,-0.03545458987355232
1589158893.825837,3576000,-0.034016214311122894
1589158917.8381326,3588000,-0.03545130789279938
1589158946.118283,3600000,-0.03496793285012245
1589158995.0357106,3624000,-0.036922622472047806
1589159022.070707,3636000,-0.033290620893239975
1589159046.4464378,3648000,-0.030636882409453392
