Wall time,Step,Value
1589151511.013635,72000,7066543.5
1589151536.1654558,84000,3572754.25
1589151639.1332238,132000,1284528.375
1589151666.8413959,144000,1583818.375
1589151716.3528538,168000,1258241.625
1589151743.5197008,180000,1362316.5
1589151767.994317,192000,1401740.375
1589151819.5661669,216000,1702447.25
1589151843.7182243,228000,1495095.625
1589151867.8552723,240000,1435183.375
1589151895.1609037,252000,1523790.25
1589151996.465369,300000,1186733.625
1589152224.8350146,408000,1295371.625
1589152249.5665374,420000,1364115.125
1589152301.5520828,444000,1255654.875
1589152377.0948777,480000,1267141.625
1589152401.3392386,492000,1283765.25
1589152452.959071,516000,1283608.375
1589152504.2629592,540000,1650777.0
1589152528.3629067,552000,1604749.625
1589152579.8735487,576000,1503276.0
1589152628.1163392,600000,1371040.75
1589152655.6101468,612000,1603401.0
1589152731.5521593,648000,1361430.25
1589152755.8538513,660000,1365707.75
1589152779.7228456,672000,1274629.375
1589152807.034062,684000,1792136.25
1589152831.3864274,696000,1368956.125
1589152906.9960434,732000,1679829.375
1589152931.0341194,744000,1479409.875
1589152982.43253,768000,1325135.875
1589153033.856268,792000,1680280.375
1589153058.180637,804000,1355689.25
1589153082.452255,816000,1720620.0
1589153109.8422985,828000,1827264.875
1589153186.5573838,864000,1289608.5
1589153211.0546007,876000,1320794.5
1589153234.9060218,888000,1255046.25
1589153262.022255,900000,1355292.75
1589153310.5843253,924000,1062802.625
1589153385.905656,960000,1248385.5
1589153512.4901514,1020000,1145262.375
1589153536.8397338,1032000,1138785.625
1589153564.2926996,1044000,1244117.875
1589153588.5170665,1056000,1052589.125
1589153613.1397471,1068000,1018730.75
1589153640.3879247,1080000,1173535.875
1589153764.528148,1140000,1106850.0
1589153967.0147657,1236000,845100.0625
1589154042.6927965,1272000,1023391.0625
1589154067.3812068,1284000,922373.6875
1589154247.3964472,1368000,624729.3125
1589154322.6065419,1404000,704876.9375
1589154371.9267063,1428000,582460.875
1589154399.1459904,1440000,555191.125
1589154423.521004,1452000,457239.28125
1589154523.8802402,1500000,491432.34375
1589154551.3510933,1512000,425279.34375
1589154575.4637146,1524000,416688.90625
1589154651.065232,1560000,406765.28125
1589154675.0257974,1572000,382130.59375
1589154750.6428504,1608000,463064.78125
1589154853.0713253,1656000,300456.4375
1589154901.4432735,1680000,275353.375
1589154954.3285632,1704000,256574.921875
1589154979.1810672,1716000,253324.015625
1589155006.5658174,1728000,265234.1875
1589155030.8744862,1740000,272525.90625
1589155131.4841073,1788000,216132.234375
1589155182.8225389,1812000,198964.34375
1589155258.7275155,1848000,156228.34375
1589155282.7103844,1860000,128553.203125
1589155309.741881,1872000,136230.0
1589155358.0784228,1896000,135847.78125
1589155385.3019066,1908000,136749.171875
1589155409.6398287,1920000,137933.203125
1589155484.9051406,1956000,145329.546875
1589155536.1680727,1980000,123167.796875
1589155560.476074,1992000,123613.6796875
1589155611.6853464,2016000,124075.34375
1589155636.3464656,2028000,118645.5703125
1589155712.8462954,2064000,125881.9921875
1589155841.749916,2124000,121029.6640625
1589155866.135919,2136000,103433.96875
1589155890.60824,2148000,91315.234375
1589155942.464753,2172000,92963.0
1589155967.1352663,2184000,87170.0234375
1589156018.6922166,2208000,118733.796875
1589156069.6393113,2232000,90382.2578125
1589156093.679547,2244000,113160.34375
1589156117.509553,2256000,123797.609375
1589156144.3143911,2268000,117483.546875
1589156192.4749534,2292000,102067.6484375
1589156219.4650729,2304000,110483.59375
1589156395.1307116,2388000,71106.1796875
1589156494.5869296,2436000,71494.2578125
1589156598.3130474,2484000,67435.7890625
1589156622.8518944,2496000,66615.46875
1589156647.307255,2508000,53597.40234375
1589156750.4034173,2556000,42984.5390625
1589156825.8534498,2592000,41515.58984375
1589156901.1738162,2628000,37412.58984375
1589156926.003524,2640000,32473.951171875
1589157003.7269177,2676000,31028.056640625
1589157027.9705987,2688000,30040.54296875
1589157079.9302607,2712000,28853.06640625
1589157103.8846452,2724000,31150.765625
1589157131.135835,2736000,25899.5546875
1589157179.7984252,2760000,28016.8515625
1589157206.7001646,2772000,25929.484375
1589157255.217361,2796000,27745.544921875
1589157282.7755427,2808000,24447.46484375
1589157307.1233797,2820000,34389.5390625
1589157382.4872866,2856000,36475.10546875
1589157457.7329953,2892000,33188.58203125
1589157584.9384167,2952000,26601.705078125
1589157632.9047432,2976000,28926.5703125
1589157684.8601935,3000000,31113.140625
1589157709.1728742,3012000,31390.193359375
1589157836.0529656,3072000,24407.03515625
1589157911.7467859,3108000,23166.12890625
1589157936.7067254,3120000,18965.3046875
1589157964.1017208,3132000,19861.9609375
1589157988.778451,3144000,21136.09765625
1589158039.9849093,3168000,18069.509765625
1589158140.9779637,3216000,16888.9375
1589158191.9892623,3240000,15900.1455078125
1589158239.9277568,3264000,15496.7939453125
1589158290.970353,3288000,16203.8603515625
1589158417.956434,3348000,14337.6953125
1589158466.738684,3372000,13209.9140625
1589158568.3004358,3420000,13390.1025390625
1589158692.0144446,3480000,15039.625
1589158742.9718544,3504000,15839.3505859375
1589158767.3175087,3516000,11796.3828125
1589158843.183297,3552000,14968.3251953125
1589158893.825866,3576000,15080.0576171875
1589158917.8381617,3588000,12058.869140625
1589158946.1183174,3600000,15418.5419921875
1589158995.0357404,3624000,15153.0888671875
1589159022.0707357,3636000,17730.783203125
1589159046.4464662,3648000,15030.2138671875
1589159146.4825623,3696000,11932.763671875
1589159173.377775,3708000,12858.92578125
1589159221.4141963,3732000,13087.736328125
1589159296.4792218,3768000,12135.05078125
1589159400.6952994,3816000,14301.4609375
1589159424.9810293,3828000,13279.2275390625
1589159449.254196,3840000,11908.3857421875
1589159476.2748492,3852000,11207.572265625
1589159524.23916,3876000,12122.931640625
1589159599.929545,3912000,12001.9072265625
1589159627.4356394,3924000,12727.5810546875
1589159651.5802639,3936000,12264.302734375
1589159726.6581001,3972000,9784.4814453125
1589159750.770744,3984000,10149.2861328125
1589159802.2360218,4008000,10307.7939453125
1589159954.7816656,4080000,9286.53515625
1589160006.1287017,4104000,9042.0654296875
1589160081.5339518,4140000,7702.8232421875
1589160105.3158648,4152000,8802.2734375
1589160156.0755851,4176000,7704.9658203125
1589160180.3167496,4188000,8301.3564453125
1589160306.2600672,4248000,8537.8994140625
1589160330.5737765,4260000,8016.3173828125
1589160381.857384,4284000,7810.36279296875
1589160430.9505985,4308000,7662.35498046875
1589160458.0123863,4320000,6681.13623046875
1589160482.8876655,4332000,7126.07275390625
1589160558.655086,4368000,6479.27880859375
1589160582.9402316,4380000,5498.044921875
1589160658.4537666,4416000,5796.234375
1589160685.221544,4428000,5385.1318359375
1589160733.3261213,4452000,6840.9248046875
1589160760.474311,4464000,6258.23095703125
1589160808.874452,4488000,6559.8369140625
1589160911.324569,4536000,6762.4755859375
1589160935.4334404,4548000,6566.09326171875
1589160959.5252368,4560000,6092.0673828125
1589161010.7082632,4584000,5180.39697265625
1589161034.6204178,4596000,5428.17822265625
1589161109.639738,4632000,6088.5166015625
1589161136.6199431,4644000,5404.76123046875
1589161160.9382443,4656000,6662.79345703125
1589161184.886501,4668000,5465.02587890625
1589161235.8016238,4692000,5810.166015625
1589161259.9041514,4704000,5613.15771484375
1589161286.9771006,4716000,5039.9697265625
1589161311.4084985,4728000,5037.01611328125
1589161537.1994061,4836000,5258.697265625
1589161561.3398407,4848000,4672.11474609375
1589161612.8955498,4872000,5105.35693359375
1589161688.0414238,4908000,4280.630859375
1589161863.2581866,4992000,4825.103515625
1589161890.341228,5004000,4251.04150390625
1589161989.0110912,5052000,4253.7548828125
1589162012.6455424,5064000,3837.34228515625
1589162039.4407988,5076000,4291.41064453125
1589162088.313415,5100000,4123.42919921875
1589162139.3797357,5124000,4847.21337890625
1589162239.185454,5172000,4132.5048828125
1589162464.966257,5280000,3678.750732421875
1589162491.7016108,5292000,2832.215087890625
1589162515.7259035,5304000,3648.312744140625
1589162539.8155413,5316000,3532.849853515625
1589162590.7925992,5340000,3020.63330078125
1589162614.971525,5352000,3553.642822265625
1589162690.0224364,5388000,3485.34619140625
1589162766.267261,5424000,3441.029296875
1589162943.4229522,5508000,2913.64794921875
1589162967.4421973,5520000,3023.328369140625
1589162991.1027133,5532000,3523.6669921875
1589163018.0146353,5544000,3118.745361328125
1589163066.692808,5568000,3050.38330078125
1589163093.8219743,5580000,2624.037353515625
1589163117.926901,5592000,3239.1962890625
1589163169.261728,5616000,3183.13232421875
1589163193.165457,5628000,3608.572509765625
1589163217.0674958,5640000,3182.160400390625
1589163268.2018063,5664000,3146.504150390625
1589163318.634471,5688000,2938.1142578125
1589163342.3031344,5700000,3106.708740234375
1589163441.2633345,5748000,3238.042236328125
1589163618.1650891,5832000,2678.101318359375
1589163693.151833,5868000,2692.609130859375
1589163717.479482,5880000,3489.199951171875
1589163768.1978838,5904000,2978.076904296875
1589163816.2341163,5928000,3048.656005859375
1589163890.4626122,5964000,2628.976318359375
1589164165.81797,6096000,2381.43505859375
1589164241.0603664,6132000,2632.421630859375
1589164265.1158712,6144000,3100.093017578125
1589164292.3289225,6156000,2867.949951171875
1589164340.8714635,6180000,3035.283935546875
1589164391.4190388,6204000,3362.710693359375
1589164415.3041618,6216000,3042.675048828125
1589164466.0153198,6240000,3592.56982421875
1589164592.1600823,6300000,2422.34375
1589164616.1106842,6312000,2839.720703125
1589164765.5789642,6384000,3229.511474609375
1589164815.9689295,6408000,2711.795654296875
1589164840.5410607,6420000,2883.60595703125
1589164864.513032,6432000,2454.32275390625
1589164891.9464934,6444000,2461.4296875
1589164916.1597555,6456000,2450.39208984375
1589164940.4827113,6468000,2147.10595703125
1589164967.1583893,6480000,2150.864501953125
1589164991.1313257,6492000,2747.6435546875
1589165015.0846343,6504000,2632.51220703125
1589165041.9528859,6516000,2538.13037109375
1589165090.214997,6540000,2895.148193359375
1589165165.9519491,6576000,3359.51171875
1589165192.6621222,6588000,2563.150146484375
1589165217.091857,6600000,2984.139892578125
1589165268.1274135,6624000,2560.609130859375
1589165367.6302297,6672000,2829.451904296875
1589165418.4546452,6696000,2567.02783203125
1589165466.343887,6720000,2444.93017578125
1589165567.8580344,6768000,2210.89111328125
1589165591.8839254,6780000,2378.6474609375
1589165615.715771,6792000,2243.486083984375
1589165666.383082,6816000,2925.416015625
1589165717.5214345,6840000,2104.650146484375
1589165765.105566,6864000,2057.697998046875
1589165816.3309135,6888000,2297.865966796875
1589165840.419976,6900000,1886.6298828125
1589165915.2048433,6936000,1980.2322998046875
1589165965.598336,6960000,2063.00830078125
1589165989.3415875,6972000,2220.1298828125
1589166016.452881,6984000,2525.695068359375
1589166040.1903543,6996000,1884.4462890625
1589166064.179825,7008000,2465.8994140625
1589166091.134231,7020000,1959.9678955078125
1589166138.930848,7044000,1933.0035400390625
1589166165.537145,7056000,1754.5423583984375
1589166288.32122,7116000,1900.39501953125
1589166315.2503436,7128000,2044.85498046875
1589166364.0453966,7152000,2211.304443359375
1589166390.9857383,7164000,1936.6387939453125
1589166414.906922,7176000,2189.544189453125
1589166490.3033671,7212000,2107.0849609375
1589166541.319673,7236000,3359.07470703125
1589166588.8282208,7260000,3246.52392578125
1589166639.9048555,7284000,2653.077392578125
1589166690.4169295,7308000,2236.462890625
1589166738.9283516,7332000,2335.825439453125
1589166765.4531782,7344000,2029.8802490234375
1589166789.5871294,7356000,1982.6488037109375
1589166865.0879042,7392000,1687.383544921875
1589166965.1173854,7440000,1928.13623046875
1589166992.072636,7452000,1654.48583984375
1589167040.1078558,7476000,1714.643310546875
1589167066.8761923,7488000,2144.6494140625
1589167114.4749897,7512000,1736.7535400390625
1589167216.2950792,7560000,1618.265625
1589167338.5036187,7620000,1781.00048828125
1589167514.5755734,7704000,1919.4324951171875
1589167538.4472435,7716000,1736.9566650390625
1589167589.0802553,7740000,1807.449462890625
1589167613.156042,7752000,1782.1268310546875
1589167636.7292519,7764000,1779.2294921875
1589167663.5302227,7776000,2010.0941162109375
1589167687.3280568,7788000,1897.4864501953125
1589167711.1497087,7800000,1667.0699462890625
1589167761.9814692,7824000,1684.7335205078125
1589167785.7924204,7836000,1802.3250732421875
1589167886.4941077,7884000,1856.5125732421875
1589167910.622086,7896000,1697.851806640625
1589167961.3399656,7920000,1536.7646484375
1589168009.2295568,7944000,1752.2322998046875
1589168084.1709964,7980000,1817.9505615234375
1589168135.079419,8004000,1744.009033203125
1589168158.9144034,8016000,1337.0267333984375
1589168185.7993996,8028000,1336.5931396484375
1589168261.0850666,8064000,1542.43212890625
1589168285.6056166,8076000,1339.029052734375
1589168309.4308734,8088000,1283.3438720703125
1589168336.589871,8100000,1482.2052001953125
1589168360.626749,8112000,1587.0047607421875
1589168411.184986,8136000,1506.9677734375
1589168435.254188,8148000,1191.2691650390625
1589168458.8922908,8160000,1454.66015625
1589168510.2803771,8184000,1436.0302734375
1589168533.9501894,8196000,1336.811767578125
1589168560.7943788,8208000,1276.529541015625
1589168585.117626,8220000,982.5801391601562
1589168608.6895378,8232000,1163.47216796875
1589168635.684604,8244000,1196.293701171875
1589168683.234634,8268000,1101.172607421875
1589168710.1537573,8280000,1355.7840576171875
1589168784.8246367,8316000,1117.64501953125
1589168883.692402,8364000,1263.578857421875
1589168959.301852,8400000,876.8923950195312
1589168983.3944886,8412000,1017.5101928710938
1589169010.4364138,8424000,879.0040283203125
1589169059.3194044,8448000,752.8441162109375
1589169085.9562364,8460000,1066.2032470703125
1589169109.8580859,8472000,1112.4375
1589169133.7461085,8484000,774.8654174804688
1589169184.7616649,8508000,1029.105224609375
1589169208.4446442,8520000,1102.34326171875
1589169235.0613334,8532000,1013.243896484375
1589169334.2298613,8580000,1152.228271484375
1589169432.7486691,8628000,819.5642700195312
1589169459.8691323,8640000,852.0066528320312
1589169507.7745478,8664000,1030.4443359375
1589169535.2031577,8676000,1076.8624267578125
1589169559.404012,8688000,912.6317749023438
1589169583.3790936,8700000,940.45849609375
1589169610.383283,8712000,1264.309326171875
1589169634.278772,8724000,1062.2275390625
1589169708.4904613,8760000,643.5848999023438
1589169732.1745517,8772000,949.2899780273438
1589169882.467276,8844000,753.2033081054688
1589169933.332573,8868000,908.55224609375
1589169957.4983926,8880000,738.6260375976562
1589169984.340362,8892000,607.40869140625
1589170008.265042,8904000,950.1490478515625
1589170059.617905,8928000,793.9921264648438
1589170134.9634125,8964000,936.603271484375
1589170159.0344133,8976000,643.5521240234375
1589170234.1446962,9012000,806.9467163085938
1589170258.1999652,9024000,849.79345703125
