Wall time,Step,Value
1589151431.661463,72000,-17545.638671875
1589151456.6061194,84000,-17873.361328125
1589151558.711318,132000,-17270.1015625
1589151586.25635,144000,-16992.37109375
1589151634.9693093,168000,-16752.35546875
1589151662.7507753,180000,-17015.896484375
1589151687.4954174,192000,-16752.66796875
1589151738.8653228,216000,-16687.087890625
1589151762.9953408,228000,-16632.927734375
1589151787.0318818,240000,-16537.16796875
1589151814.0818057,252000,-16292.3388671875
1589151913.9468696,300000,-16493.806640625
1589152142.77507,408000,-16246.0068359375
1589152167.7733383,420000,-16367.728515625
1589152220.521334,444000,-15764.0283203125
1589152297.0956156,480000,-16068.3125
1589152321.4864998,492000,-15911.8955078125
1589152373.0330288,516000,-15988.37890625
1589152425.1724563,540000,-15619.3837890625
1589152449.2517152,552000,-15663.490234375
1589152500.5535297,576000,-15335.7841796875
1589152548.7831638,600000,-15207.6123046875
1589152575.757953,612000,-15067.080078125
1589152651.0617845,648000,-15205.9755859375
1589152675.2572775,660000,-15162.6396484375
1589152700.0270576,672000,-14788.345703125
1589152727.269534,684000,-14671.7255859375
1589152751.5514023,696000,-14472.8623046875
1589152827.8729758,732000,-14472.978515625
1589152852.5041301,744000,-14099.9560546875
1589152905.5725825,768000,-13848.62890625
1589152956.6853023,792000,-13852.9638671875
1589152981.0225627,804000,-14059.623046875
1589153005.3085754,816000,-13961.6005859375
1589153032.69904,828000,-13961.86328125
1589153108.9346228,864000,-13550.2138671875
1589153133.264111,876000,-13716.8115234375
1589153157.0253253,888000,-13693.9345703125
1589153183.9425225,900000,-14213.150390625
1589153232.115513,924000,-14187.0283203125
1589153308.337172,960000,-14168.2734375
1589153436.9378,1020000,-14212.650390625
1589153461.7228625,1032000,-14014.9169921875
1589153489.0594327,1044000,-13808.521484375
1589153513.3689194,1056000,-13543.5283203125
1589153537.1962652,1068000,-13510.6064453125
1589153564.100606,1080000,-12973.7919921875
1589153687.176189,1140000,-12820.0673828125
1589153889.4048588,1236000,-12093.689453125
1589153964.408615,1272000,-11376.2451171875
1589153988.556127,1284000,-11248.4228515625
1589154167.2787788,1368000,-10285.984375
1589154242.5407841,1404000,-10354.921875
1589154291.0276818,1428000,-9943.65625
1589154318.1828444,1440000,-9914.61328125
1589154343.0094154,1452000,-10306.490234375
1589154441.8323832,1500000,-9735.51171875
1589154469.015623,1512000,-9557.1923828125
1589154493.4404628,1524000,-9208.8955078125
1589154568.773048,1560000,-8806.1728515625
1589154592.7589242,1572000,-8998.0625
1589154667.6644301,1608000,-8712.4736328125
1589154769.9973092,1656000,-8487.517578125
1589154818.4871547,1680000,-8291.3291015625
1589154869.6079798,1704000,-8076.65673828125
1589154893.6530516,1716000,-8107.3623046875
1589154920.4920676,1728000,-7662.49267578125
1589154944.8530617,1740000,-7570.517578125
1589155044.9550962,1788000,-8102.7509765625
1589155096.1102479,1812000,-7755.52880859375
1589155172.105672,1848000,-7572.52880859375
1589155196.067334,1860000,-7745.2177734375
1589155223.3589802,1872000,-7443.4677734375
1589155272.339328,1896000,-7412.26220703125
1589155299.6562996,1908000,-7440.20068359375
1589155324.7365832,1920000,-7085.162109375
1589155400.0883927,1956000,-7138.05078125
1589155451.023425,1980000,-7040.0927734375
1589155476.096835,1992000,-6742.162109375
1589155527.4437256,2016000,-6615.8466796875
1589155551.8275304,2028000,-6742.984375
1589155628.4986281,2064000,-5770.33447265625
1589155754.9605224,2124000,-5752.66748046875
1589155780.1286354,2136000,-5302.63427734375
1589155803.8183122,2148000,-5509.5009765625
1589155855.4353602,2172000,-5418.77294921875
1589155879.4365938,2184000,-5353.60107421875
1589155930.550168,2208000,-5161.83984375
1589155982.70443,2232000,-5517.642578125
1589156006.726243,2244000,-5247.08984375
1589156031.0032065,2256000,-4883.1455078125
1589156057.6680086,2268000,-5239.7509765625
1589156106.103956,2292000,-4758.2900390625
1589156133.3397815,2304000,-5017.96337890625
1589156308.6465702,2388000,-4815.58447265625
1589156409.1724737,2436000,-4586.6064453125
1589156510.9620383,2484000,-4426.68408203125
1589156535.7095218,2496000,-4219.57861328125
1589156559.9773512,2508000,-4076.767578125
1589156663.4582386,2556000,-3989.292724609375
1589156740.1875699,2592000,-3826.2509765625
1589156817.5375068,2628000,-3792.417724609375
1589156842.7692564,2640000,-3651.267578125
1589156919.275456,2676000,-3744.1455078125
1589156943.025521,2688000,-3620.612060546875
1589156994.4797783,2712000,-3304.8955078125
1589157018.8002508,2724000,-3221.36767578125
1589157046.6362305,2736000,-3116.105224609375
1589157096.1007318,2760000,-3083.962158203125
1589157123.8339777,2772000,-2897.380126953125
1589157172.8763595,2796000,-3066.123046875
1589157200.8520722,2808000,-2814.88427734375
1589157225.9564116,2820000,-2661.02880859375
1589157304.252908,2856000,-2781.767578125
1589157382.5522301,2892000,-2698.0341796875
1589157511.484476,2952000,-2398.825927734375
1589157559.936062,2976000,-2222.962158203125
1589157610.7365265,3000000,-2062.23974609375
1589157635.0711775,3012000,-2080.90087890625
1589157762.6407452,3072000,-2016.63427734375
1589157838.639381,3108000,-1975.289794921875
1589157863.3056967,3120000,-1970.6898193359375
1589157891.1305459,3132000,-1879.059326171875
1589157916.225777,3144000,-1890.7398681640625
1589157968.8772476,3168000,-1886.05517578125
1589158071.2749,3216000,-1685.0509033203125
1589158123.9595077,3240000,-1770.580078125
